gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
10205	P4N1R1	H	250
10207	P4N1R2	H	250
10210	P4N1R3	H	250
10213	P4N2R1	H	251
10214	P4N2R2	H	250
10215	P4N2R3	H	251
10216	P4N3R1	Sar	263
10217	P4N3R2	H	252
10218	P4F2R1	H	252
10220	P4F2R2	H	252
10234	P5F5I	H	261
10252	P5F5H	AR	488
10251	P5F5N1A1	H	262
10253	P5F5N1A2	H	262
10257	P5F5N1A3	H	262
10259	P5F5N1R1	H	262
10260	P5F5N1R2	H	262
10262	P5F5N1R3	H	262
10263	P5F5N2A1	H	262
10264	P5F5N2A2	H	262
10265	P5F5N2A3	H	262
10266	P5F5N2R1	H	263
10267	P5F5N2R2	H	263
10270	P5F5N2R3	H	263
10271	P5F5N3A1	H	263
10272	P5F5N3A2	H	263
10273	P5F5N3A3	H	263
10274	P5F5N3R1	Sar	275
10276	P5F5N3R2	H	264
10297	P6N3R2	Sar	272
15214	P7I	H	268
15231	P7H	AR	500
15215	P7A1	H	268
15216	P7A2	H	268
15217	P7A3	H	268
15218	P7R1	H	269
15219	P7R2	H	269
15220	P7F2R1	H	269
15221	P7F2R2	H	269
15222	P7F3R1	H	270
15223	P7F3R2	H	204mt
15224	P7F4R1	H	269
15225	P7F4R2	H	264
10327	P7F5R1	H	203mt
15226	P7F5R2	Lc	258
15227	P7F6R1	Flor	141r
15228	P7F6R2	H	204mt
10347	H1I	H	102
10348	H1H	AR	516
10349	H1N1A1	H	102
10350	H1N1A2	H	102
10351	H1N1A3	H	102
15257	H1N1R1	H	416
15258	H1N1R2	H	102
15259	H1N1R3	H	102
10352	H1N2A1	H	102
10353	H1N2A2	H	103
10354	H1N2A3	H	103
15260	H1N2R1	H	102
10340	H1N2R2	Sar	291
15261	H1N2R3	H	103
10355	H1N3A1	H	102
10356	H1N3A2	H	103
10357	H1N3A3	Plant	613
15262	H1N3R1	H	104
15307	H1F2R1	H	397
15308	H1F2R2	H	395
15309	H1F2R3	H	395
10344	H1F3R1	Lc	268
15310	H1F3R2	H	395
15311	H1F3R3	H	395
15312	H1F4R1	H	396
15313	H1F4R2	H	396
15314	H1F4R3	H	396
15320	H1F5I	LU	
15321	H1F5I2	HPS	
15322	H1F5H	LU	
10375	H1F5N1A1	LU	
10376	H1F5N1A2	LU	
15323	H1F5N1A3	LU	
10370	H1F5N1R1	LU	
15324	H1F5N1R2	LU	
10371	H1F5N1R3	LU	
15325	H1F5N2A1	LU	
15326	H1F5N2A2	LU	
15327	H1F5N2A3	LU	
10369	H1F5N2R1	LU	
10372	H1F5N2R2	LU	
10364	H1F5N2R3	GU30	571
15328	H1F5N3A1	LU	
15329	H1F5N3A2	LU	
15330	H1F5N3A3	LU	
10373	H1F5N3R1	LU	
10374	H1F5N3R2	LU	
15331	H2F6I	LH	118
15332	H2F6I2	HPS	
15333	H2F6H	AR	538-3
15334	H2F6N1A1	HPS	
15335	H2F6N1A2	HPS / H	152
15336	H2F6N1A3	HPS / H	177
15343	H2F6N1R1	HPS / H	313
15344	H2F6N1R2	HPS / H	17
15345	H2F6N1R3	HPS / H	349
15337	H2F6N2A1	HPS	
15338	H2F6N2A2	HPS / H / AR	431 / 1068.1
15339	H2F6N2A3	HPS / H	82
